Session,CCS,Arrival,Departure,Stay (min),Energy (Wh),Pmax (W),Preq_max (W),"Controlled session (0=False, 1=True)",TotalCapacity,BulkCapacity,SOC arrival,SOC departure,Energy capacity (Wh)
224,CCS1,6/21/2022 13:03,6/21/2022 13:09,7,13229.0,159078,353265,1,10000,8000,19,36,73970
244,CCS1,7/16/2022 18:41,7/16/2022 18:47,7,9713.0,118203,367872,1,10000,8000,76,85,102526
270,CCS1,8/10/2022 19:00,8/10/2022 19:06,7,4127.0,52035,179418,1,10000,8000,72,78,65235
495,CCS1,11/11/2022 11:49,11/11/2022 11:55,7,3608.0,60444,123081,0,42000,33600,68,76,42845
569,CCS1,11/21/2022 17:07,11/21/2022 17:13,7,8032.0,103716,353265,1,10000,8000,30,38,95380
599,CCS1,2/15/2023 6:49,2/15/2023 6:55,7,3800.0,52068,110514,0,50000,40000,13,23,36100
629,CCS1,2/24/2023 9:43,2/24/2023 9:49,7,12964.0,157017,353265,1,10000,8000,17,31,87970
731,CCS1,3/18/2023 1:55,3/18/2023 2:01,7,10101.0,121941,179418,1,10000,8000,10,25,63973
827,CCS1,4/6/2023 1:15,4/6/2023 1:21,7,13453.0,157833,353265,1,10000,8000,7,22,85202
917,CCS1,5/8/2023 13:02,5/8/2023 13:08,7,8315.0,94101,353265,1,10000,8000,53,63,78993
1132,CCS2,4/13/2022 7:02,4/13/2022 7:08,7,4305.0,55095,57333,1,10000,8000,63,75,34081
1180,CCS2,4/26/2022 17:34,4/26/2022 17:40,7,7679.0,106437,159210,0,10000,8000,18,26,91074
1319,CCS2,8/4/2022 12:56,8/4/2022 13:02,7,4536.0,61323,352230,1,10000,8000,34,40,71820
1507,CCS2,11/20/2022 19:30,11/20/2022 19:36,7,8370.0,99441,178383,1,10000,8000,13,25,66263
1789,CCS2,6/7/2023 18:01,6/7/2023 18:07,7,11877.0,160131,176505,1,10000,8000,19,34,75221
1832,CCS2,6/21/2023 15:37,6/21/2023 15:43,7,6344.0,69588,176505,1,10000,8000,54,61,86097
151,CCS1,6/7/2022 12:00,6/7/2022 12:07,8,8643.0,89145,123081,0,42000,33600,23,43,41054
292,CCS1,10/14/2022 10:55,10/14/2022 11:02,8,11365.0,111462,177540,1,10000,8000,49,64,71978
459,CCS1,11/6/2022 15:45,11/6/2022 15:52,8,14733.0,150195,353265,1,10000,8000,17,33,87477
654,CCS1,2/28/2023 17:39,2/28/2023 17:46,8,6248.0,74205,353265,1,10000,8000,55,61,98927
667,CCS1,3/3/2023 11:43,3/3/2023 11:50,8,6303.0,73908,252297,1,10000,8000,8,18,59938
725,CCS1,3/17/2023 14:10,3/17/2023 14:17,8,8076.0,92868,353265,1,10000,8000,51,61,76722
754,CCS1,3/24/2023 7:47,3/24/2023 7:54,8,9063.0,105066,353265,1,10000,8000,39,49,86099
779,CCS1,3/29/2023 14:44,3/29/2023 14:51,8,12425.0,146184,177540,1,10000,8000,11,26,78692
1071,CCS1,6/23/2023 18:23,6/23/2023 18:30,8,8732.0,128940,142737,0,10000,8000,33,47,59295
1106,CCS1,6/29/2023 16:23,6/29/2023 16:30,8,6340.0,94176,229743,1,10000,8000,48,59,54804
1110,CCS1,6/30/2023 9:08,6/30/2023 9:15,8,13173.0,145506,179418,1,10000,8000,9,30,59564
1118,CCS1,7/1/2023 18:05,7/1/2023 18:12,8,10036.0,101400,110514,0,50000,40000,12,34,43337
1414,CCS2,10/29/2022 18:26,10/29/2022 18:33,8,5441.0,60825,159210,0,10000,8000,29,41,43075
1457,CCS2,11/11/2022 6:19,11/11/2022 6:26,8,4585.0,49431,57333,1,10000,8000,65,78,33506
1536,CCS2,2/19/2023 19:31,2/19/2023 19:38,8,6282.0,60483,178383,1,10000,8000,29,40,54254
1636,CCS2,3/27/2023 15:34,3/27/2023 15:41,8,11368.0,114192,178383,1,10000,8000,7,23,67498
1638,CCS2,3/27/2023 23:33,3/27/2023 23:40,8,7708.0,87381,178383,1,10000,8000,15,26,66569
1725,CCS2,5/2/2023 21:12,5/2/2023 21:19,8,4823.0,47967,120222,1,10000,8000,64,69,91821
1810,CCS2,6/15/2023 21:16,6/15/2023 21:23,8,11637.0,141657,144300,0,10000,8000,16,32,69095
1839,CCS2,6/22/2023 15:41,6/22/2023 15:48,8,11139.0,166977,270597,1,10000,8000,59,73,75532
192,CCS1,6/15/2022 18:12,6/15/2022 18:20,9,6641.0,62352,224907,1,10000,8000,72,80,78763
208,CCS1,6/18/2022 15:26,6/18/2022 15:34,9,13413.0,146646,353265,1,10000,8000,35,52,74955
307,CCS1,10/15/2022 15:59,10/15/2022 16:07,9,18879.0,159465,353265,1,10000,8000,13,34,85405
346,CCS1,10/22/2022 14:27,10/22/2022 14:35,9,11877.0,107385,353265,1,10000,8000,47,61,80536
515,CCS1,11/14/2022 9:01,11/14/2022 9:09,9,9618.0,102729,353265,1,10000,8000,30,40,91371
809,CCS1,4/3/2023 17:23,4/3/2023 17:31,9,16045.0,155985,353265,1,10000,8000,23,43,76214
906,CCS1,4/24/2023 4:16,4/24/2023 4:24,9,8660.0,74109,91782,0,10000,8299,35,66,26539
948,CCS1,5/16/2023 22:39,5/16/2023 22:47,9,18290.0,158787,353265,1,10000,8000,3,24,82740
984,CCS1,5/23/2023 20:56,5/23/2023 21:04,9,4329.0,38238,224907,1,10000,8000,95,100,82251
1152,CCS2,4/20/2022 7:07,4/20/2022 7:15,9,5229.0,55431,57333,0,10000,8000,68,84,31047
1178,CCS2,4/26/2022 10:08,4/26/2022 10:16,9,6911.0,76779,122046,0,42000,33600,45,62,38620
1187,CCS2,5/17/2022 12:59,5/17/2022 13:07,9,13776.0,141810,159210,1,10000,8000,9,24,87190
1261,CCS2,6/14/2022 10:22,6/14/2022 10:30,9,7136.0,74103,140628,0,10000,8000,58,69,61685
1285,CCS2,6/19/2022 16:26,6/19/2022 16:34,9,2248.0,34413,55800,0,10000,8000,76,86,21356
1291,CCS2,7/13/2022 7:02,7/13/2022 7:10,9,5991.0,54864,57333,0,10000,8000,61,80,29955
1526,CCS2,2/15/2023 6:56,2/15/2023 7:04,9,4661.0,43644,57333,0,10000,8000,58,72,31651
1598,CCS2,3/14/2023 7:14,3/14/2023 7:22,9,5144.0,52242,57333,0,10000,8000,64,80,30543
1682,CCS2,4/7/2023 17:32,4/7/2023 17:40,9,13389.0,131748,176505,1,10000,8000,9,25,79448
1717,CCS2,4/22/2023 9:51,4/22/2023 9:59,9,8320.0,83304,191382,1,75200,60160,49,60,71855
1816,CCS2,6/17/2023 20:04,6/17/2023 20:12,9,17973.0,159078,352230,1,10000,8000,21,43,77611
1854,CCS2,6/27/2023 16:37,6/27/2023 16:45,9,5158.0,47283,50403,0,10000,8000,23,51,17500
20,CCS1,4/17/2022 8:56,4/17/2022 9:05,10,7086.0,75693,91782,0,10000,8299,68,86,37398
174,CCS1,6/10/2022 19:58,6/10/2022 20:07,10,19916.0,156723,353265,1,10000,8000,9,32,82226
210,CCS1,6/18/2022 16:36,6/18/2022 16:45,10,19350.0,167733,177540,1,10000,8000,40,61,87536
239,CCS1,7/15/2022 17:35,7/15/2022 17:44,10,13663.0,115200,160245,0,10000,8000,32,50,72110
352,CCS1,10/23/2022 13:58,10/23/2022 14:07,10,7177.0,62970,93630,0,10000,8000,61,70,75757
510,CCS1,11/13/2022 13:59,11/13/2022 14:08,10,18500.0,157698,353265,1,10000,8000,26,48,79886
619,CCS1,2/19/2023 14:53,2/19/2023 15:02,10,6689.0,54741,353265,1,10000,8000,73,79,105909
690,CCS1,3/9/2023 11:52,3/9/2023 12:01,10,6893.0,57222,353265,1,10000,8000,57,66,72679
716,CCS1,3/16/2023 7:00,3/16/2023 7:09,10,5757.0,50883,58368,1,10000,8000,61,78,32171
776,CCS1,3/28/2023 20:25,3/28/2023 20:34,10,17642.0,150813,192417,1,66640,53312,9,35,64463
777,CCS1,3/29/2023 5:06,3/29/2023 5:15,10,10929.0,98124,229743,1,10000,8000,23,37,74161
814,CCS1,4/4/2023 13:44,4/4/2023 13:53,10,2862.0,86838,353265,1,10000,8000,49,52,90630
821,CCS1,4/5/2023 5:20,4/5/2023 5:29,10,9917.0,84687,229743,1,10000,8000,29,42,72470
894,CCS1,4/21/2023 16:52,4/21/2023 17:01,10,13408.0,153903,252297,1,10000,8000,21,45,53073
1024,CCS1,6/13/2023 15:20,6/13/2023 15:29,10,15822.0,156267,353265,1,10000,8000,32,52,75155
1171,CCS2,4/24/2022 9:58,4/24/2022 10:07,10,5871.0,67392,122046,0,42000,33600,63,76,42903
1321,CCS2,8/10/2022 17:17,8/10/2022 17:26,10,19381.0,169392,249114,1,10000,8000,16,32,115075
1436,CCS2,11/2/2022 19:50,11/2/2022 19:59,10,6935.0,59364,352230,1,10000,8000,11,19,82353
1519,CCS2,11/24/2022 12:39,11/24/2022 12:48,10,6287.0,48441,92595,0,10000,8000,22,28,99544
1539,CCS2,2/24/2023 12:41,2/24/2023 12:50,10,13159.0,130059,176505,1,10000,8000,52,68,78132
1556,CCS2,2/28/2023 7:03,2/28/2023 7:12,10,4912.0,45237,57333,0,10000,8000,61,76,31109
1588,CCS2,3/8/2023 14:55,3/8/2023 15:04,10,17032.0,161130,270597,1,10000,8000,28,43,107869
1593,CCS2,3/10/2023 6:50,3/10/2023 6:59,10,6033.0,54651,57333,0,10000,8000,52,71,30165
1601,CCS2,3/15/2023 9:13,3/15/2023 9:22,10,8576.0,67248,191382,1,77840,54488,29,38,90519
1670,CCS2,4/5/2023 7:39,4/5/2023 7:48,10,5085.0,46893,57333,1,10000,8000,62,77,32205
1775,CCS2,5/23/2023 16:05,5/23/2023 16:14,10,12158.0,104931,137406,1,10000,8000,27,44,67942
1870,CCS2,7/2/2023 12:19,7/2/2023 12:28,10,9184.0,88275,352230,1,10000,8000,53,64,79316
101,CCS1,5/22/2022 14:46,5/22/2022 14:56,11,9925.0,94557,229743,1,10000,8000,39,56,55463
246,CCS1,7/16/2022 21:52,7/16/2022 22:02,11,19778.0,145965,367872,1,10000,8000,15,39,78288
285,CCS1,10/13/2022 8:45,10/13/2022 8:55,11,15315.0,141843,353265,1,10000,8000,30,46,90933
399,CCS1,10/30/2022 11:59,10/30/2022 12:09,11,13898.0,102792,177540,1,10000,8000,26,43,77665
518,CCS1,11/14/2022 15:19,11/14/2022 15:29,11,13013.0,91173,160245,0,10000,8000,18,35,72677
533,CCS1,11/16/2022 8:48,11/16/2022 8:58,11,10089.0,97503,252297,1,10000,8000,25,43,53248
576,CCS1,11/22/2022 17:02,11/22/2022 17:12,11,8427.0,63342,179418,1,10000,8000,15,28,61582
751,CCS1,3/23/2023 12:39,3/23/2023 12:49,11,11066.0,84240,353265,1,10000,8000,57,70,80805
781,CCS1,3/29/2023 16:31,3/29/2023 16:41,11,9132.0,65625,160245,1,10000,8000,44,55,78867
870,CCS1,4/17/2023 8:54,4/17/2023 9:04,11,11921.0,93426,192417,1,77600,62080,36,50,80885
1005,CCS1,6/9/2023 9:11,6/9/2023 9:21,11,21788.0,157824,353265,1,10000,8000,17,45,73924
1033,CCS1,6/15/2023 20:46,6/15/2023 20:56,11,6531.0,53169,252297,1,10000,8000,60,71,56404
1083,CCS1,6/26/2023 17:33,6/26/2023 17:43,11,20036.0,159810,353265,1,10000,8000,22,50,67979
1127,CCS1,7/3/2023 20:27,7/3/2023 20:37,11,23592.0,160275,353265,1,10000,8000,17,47,74733
1186,CCS2,5/17/2022 11:30,5/17/2022 11:40,11,17930.0,160908,174624,1,10000,8000,70,90,85168
1313,CCS2,7/19/2022 12:27,7/19/2022 12:37,11,3527.0,27600,29781,0,10000,8000,70,100,11169
1374,CCS2,10/20/2022 12:21,10/20/2022 12:31,11,10325.0,67080,176505,1,10000,8000,30,42,81740
1399,CCS2,10/27/2022 7:57,10/27/2022 8:07,11,4040.0,33414,43689,0,10000,8000,36,51,25570
1425,CCS2,11/1/2022 12:09,11/1/2022 12:19,11,7726.3,94854,352230,1,10000,8000,8,16,91750
1561,CCS2,2/28/2023 22:12,2/28/2023 22:22,11,12780.0,96597,223872,1,10000,8000,6,21,80940
1658,CCS2,3/31/2023 19:24,3/31/2023 19:34,11,14835.0,106812,228708,1,10000,8000,22,47,56396
1795,CCS2,6/9/2023 13:44,6/9/2023 13:54,11,9366.0,63030,352230,1,10000,8000,41,54,68444
1864,CCS2,7/1/2023 10:02,7/1/2023 10:12,11,25045.0,166806,176505,1,10000,8000,35,63,84974
1,CCS1,4/12/2022 19:27,4/12/2022 19:38,12,5159.7,80238,96600,0,78900,63120,83,89,81677
18,CCS1,4/16/2022 17:49,4/16/2022 18:00,12,11874.0,97683,177540,1,10000,8000,77,90,86772
54,CCS1,4/26/2022 18:07,4/26/2022 18:18,12,20863.0,158652,353265,1,10000,8000,32,59,73434
91,CCS1,5/21/2022 6:47,5/21/2022 6:58,12,21997.0,157941,353265,1,10000,8000,21,49,74633
123,CCS1,5/26/2022 10:49,5/26/2022 11:00,12,8020.0,55014,57480,0,10000,8000,65,88,33126
185,CCS1,6/14/2022 11:12,6/14/2022 11:23,12,24963.0,160860,353265,1,10000,8000,10,41,76500
196,CCS1,6/16/2022 11:36,6/16/2022 11:47,12,16011.0,98163,353265,1,10000,8000,38,59,72465
266,CCS1,8/4/2022 10:47,8/4/2022 10:58,12,11121.0,72843,108366,1,28000,23240,21,55,31073
296,CCS1,10/14/2022 15:30,10/14/2022 15:41,12,14347.0,115053,353265,1,10000,8000,36,54,75678
494,CCS1,11/11/2022 8:16,11/11/2022 8:27,12,12595.0,105435,252297,1,10000,8000,17,40,52023
523,CCS1,11/15/2022 9:38,11/15/2022 9:49,12,14738.0,117183,229743,1,10000,8000,27,55,50004
525,CCS1,11/15/2022 14:05,11/15/2022 14:16,12,20231.0,162459,271632,1,10000,8000,34,50,120122
638,CCS1,2/25/2023 16:23,2/25/2023 16:34,12,10150.0,70851,192417,1,76800,61440,63,75,80363
774,CCS1,3/28/2023 16:34,3/28/2023 16:45,12,19819.0,155823,353265,1,10000,8000,24,48,78450
865,CCS1,4/15/2023 22:16,4/15/2023 22:27,12,7658.0,53640,58368,0,10000,8000,36,61,29089
1025,CCS1,6/13/2023 15:56,6/13/2023 16:07,12,11070.0,69228,160245,0,10000,8000,60,74,75118
1032,CCS1,6/15/2023 15:36,6/15/2023 15:47,12,17075.0,134820,177540,1,10000,8000,70,89,85375
1055,CCS1,6/20/2023 16:00,6/20/2023 16:11,12,10391.0,70185,160245,0,10000,8000,59,72,75934
1073,CCS1,6/24/2023 6:45,6/24/2023 6:56,12,16548.0,129945,229743,1,10000,8000,28,51,68350
1091,CCS1,6/27/2023 20:57,6/27/2023 21:08,12,15250.0,94077,353265,1,10000,8000,16,37,68988
1130,CCS2,4/12/2022 19:27,4/12/2022 19:38,12,11063.0,68916,75300,0,10000,8000,50,64,75070
1226,CCS2,6/4/2022 16:37,6/4/2022 16:48,12,21933.0,159528,176505,1,10000,8000,9,34,83312
1284,CCS2,6/19/2022 14:33,6/19/2022 14:44,12,11396.0,71871,176505,1,10000,8000,65,77,90218
1356,CCS2,10/17/2022 14:08,10/17/2022 14:19,12,25551.0,164529,176505,1,10000,8000,26,54,86691
1441,CCS2,11/3/2022 18:31,11/3/2022 18:42,12,6480.0,50394,228708,1,10000,8000,12,22,61560
1469,CCS2,11/12/2022 14:04,11/12/2022 14:15,12,24398.0,169431,174624,1,10000,8000,51,80,79924
1502,CCS2,11/19/2022 17:14,11/19/2022 17:25,12,26612.0,163425,174624,1,10000,8000,16,50,74357
1694,CCS2,4/12/2023 19:04,4/12/2023 19:15,12,11432.0,71964,223872,1,10000,8000,36,50,77519
1782,CCS2,5/29/2023 16:39,5/29/2023 16:50,12,24997.0,163578,176505,1,10000,8000,21,50,81887
1807,CCS2,6/13/2023 20:17,6/13/2023 20:28,12,17879.0,122334,137406,0,10000,8000,15,37,77205
1812,CCS2,6/16/2023 15:50,6/16/2023 16:01,12,14048.0,106149,109479,1,50000,40000,35,63,47663
1847,CCS2,6/24/2023 17:30,6/24/2023 17:41,12,13112.0,84903,92595,0,10000,8000,27,43,77853
2,CCS1,4/12/2022 19:49,4/12/2022 20:01,13,16461.9,94695,95700,0,10000,8000,28,45,91993
4,CCS1,4/13/2022 14:42,4/13/2022 14:54,13,18982.0,134832,353265,1,10000,8000,40,64,75137
35,CCS1,4/21/2022 11:25,4/21/2022 11:37,13,14499.0,106809,367872,1,10000,8000,48,62,98386
62,CCS1,4/29/2022 8:00,4/29/2022 8:12,13,25929.0,157890,353265,1,10000,8000,15,48,74644
78,CCS1,5/19/2022 8:37,5/19/2022 8:49,13,22416.0,159462,353265,1,10000,8000,26,55,73432
100,CCS1,5/22/2022 14:23,5/22/2022 14:35,13,26968.0,165354,177540,1,10000,8000,27,58,82644
115,CCS1,5/24/2022 23:31,5/24/2022 23:43,13,25910.0,160866,177540,1,10000,8000,6,37,79402
168,CCS1,6/9/2022 16:45,6/9/2022 16:57,13,16135.0,96309,229743,1,10000,8000,22,50,54744
225,CCS1,7/12/2022 14:08,7/12/2022 14:20,13,27811.0,161823,353265,1,10000,8000,15,50,75487
268,CCS1,8/10/2022 16:36,8/10/2022 16:48,13,26810.0,160752,353265,1,10000,8000,15,51,70749
372,CCS1,10/26/2022 9:15,10/26/2022 9:27,13,13849.0,105129,192417,1,79900,63920,49,63,93975
383,CCS1,10/28/2022 10:15,10/28/2022 10:27,13,5355.0,61161,93630,0,10000,8000,42,47,101949
416,CCS1,11/1/2022 22:06,11/1/2022 22:18,13,9205.0,60246,353265,1,10000,8000,56,66,87448
436,CCS1,11/4/2022 20:45,11/4/2022 20:57,13,9375.0,60789,179418,1,10000,8000,32,50,49479
541,CCS1,11/17/2022 15:03,11/17/2022 15:15,13,24305.0,149337,222222,1,10000,8000,9,39,76940
593,CCS1,12/5/2022 19:38,12/5/2022 19:50,13,8816.0,58851,110514,0,50000,40000,18,38,41876
630,CCS1,2/24/2023 10:49,2/24/2023 11:01,13,11501.0,84264,232965,1,10000,8000,15,32,64270
659,CCS1,3/1/2023 21:35,3/1/2023 21:47,13,17480.0,101376,177540,1,10000,8000,2,25,72200
791,CCS1,3/31/2023 3:02,3/31/2023 3:14,13,12032.0,75585,91782,0,10000,8299,36,81,25395
799,CCS1,4/1/2023 12:14,4/1/2023 12:26,13,3814.0,36120,229743,1,10000,8000,48,54,60388
808,CCS1,4/3/2023 12:10,4/3/2023 12:22,13,16135.0,122454,138441,1,10000,8000,11,35,63868
824,CCS1,4/5/2023 14:25,4/5/2023 14:37,13,9122.0,57534,160245,1,10000,8000,29,40,78781
825,CCS1,4/5/2023 15:23,4/5/2023 15:35,13,5876.9,37428,42300,0,10000,8000,93,100,79758
921,CCS1,5/8/2023 18:37,5/8/2023 18:49,13,23764.0,145701,367872,1,10000,8000,1,29,80628
937,CCS1,5/13/2023 13:11,5/13/2023 13:23,13,7430.0,55872,192417,1,77840,62272,83,90,100832
1099,CCS1,6/28/2023 21:14,6/28/2023 21:26,13,9847.0,107736,232965,1,10000,8000,86,99,71959
1153,CCS2,4/20/2022 12:48,4/20/2022 13:00,13,9152.0,54330,57333,0,10000,8000,40,70,28981
1195,CCS2,5/19/2022 14:00,5/19/2022 14:12,13,5869.0,40959,178383,1,10000,8000,81,90,61951
1294,CCS2,7/14/2022 8:03,7/14/2022 8:15,13,27378.0,171570,249114,1,10000,8000,13,36,113132
1366,CCS2,10/18/2022 18:27,10/18/2022 18:39,13,14163.0,163953,176505,1,10000,8000,66,80,96106
1455,CCS2,11/10/2022 18:48,11/10/2022 19:00,13,27999.0,163158,176505,1,10000,8000,16,48,83122
1489,CCS2,11/16/2022 19:01,11/16/2022 19:13,13,9626.0,59541,178383,1,10000,8000,35,53,50804
1509,CCS2,11/21/2022 9:53,11/21/2022 10:05,13,1848.0,15489,109479,0,50000,40000,97,100,58520
1607,CCS2,3/16/2023 17:30,3/16/2023 17:42,13,14446.0,90162,223872,1,10000,8000,24,41,80728
1676,CCS2,4/6/2023 7:09,4/6/2023 7:21,13,15454.0,91347,223872,1,10000,8000,22,40,81563
1766,CCS2,5/19/2023 19:08,5/19/2023 19:20,13,9270.0,58455,178383,1,10000,8000,37,54,51803
1769,CCS2,5/21/2023 17:25,5/21/2023 17:37,13,26855.0,167199,176505,1,10000,8000,31,62,82298
1801,CCS2,6/12/2023 19:32,6/12/2023 19:44,13,11165.0,61512,352230,1,10000,8000,21,36,70759
1809,CCS2,6/15/2023 15:28,6/15/2023 15:40,13,13929.0,104373,109479,0,50000,40000,31,61,44109
1841,CCS2,6/23/2023 12:17,6/23/2023 12:29,13,12481.0,73509,159210,0,10000,8000,48,64,74106
1851,CCS2,6/25/2023 13:23,6/25/2023 13:35,13,18442.0,123279,223872,1,10000,8000,21,46,70080
36,CCS1,4/21/2022 18:08,4/21/2022 18:21,14,7593.0,41295,353265,1,10000,8000,81,90,80148
53,CCS1,4/26/2022 17:02,4/26/2022 17:15,14,10716.0,61800,192417,1,80440,64352,72,82,101802
76,CCS1,5/18/2022 16:40,5/18/2022 16:53,14,22796.0,158811,353265,1,10000,8000,33,63,72187
158,CCS1,6/8/2022 11:30,6/8/2022 11:43,14,19498.0,120186,179418,1,10000,8000,15,49,54480
409,CCS1,10/31/2022 17:31,10/31/2022 17:44,14,9511.0,56628,59100,0,10000,8000,55,84,31157
434,CCS1,11/4/2022 16:08,11/4/2022 16:21,14,21099.0,141462,353265,1,10000,8000,35,63,71586
546,CCS1,11/18/2022 3:34,11/18/2022 3:47,14,11274.0,74964,91782,0,10000,8299,47,85,28178
588,CCS1,11/24/2022 9:33,11/24/2022 9:46,14,9187.0,63327,123081,0,42000,33600,13,35,39671
617,CCS1,2/18/2023 14:24,2/18/2023 14:37,14,20022.0,110277,179418,1,10000,8000,11,45,55944
730,CCS1,3/17/2023 21:51,3/17/2023 22:04,14,14111.0,87096,110514,0,50000,40000,17,47,44685
740,CCS1,3/20/2023 9:21,3/20/2023 9:34,14,26775.0,157047,353265,1,10000,8000,11,41,84788
750,CCS1,3/23/2023 10:46,3/23/2023 10:59,14,15145.0,94215,160245,1,10000,8000,20,40,71939
756,CCS1,3/24/2023 11:34,3/24/2023 11:47,14,26031.0,157230,353265,1,10000,8000,17,50,74938
793,CCS1,3/31/2023 8:48,3/31/2023 9:01,14,13686.0,72237,353265,1,10000,8000,57,73,81210
877,CCS1,4/18/2023 11:07,4/18/2023 11:20,14,17170.0,112380,229743,1,10000,8000,30,53,70920
1028,CCS1,6/14/2023 19:35,6/14/2023 19:48,14,15914.0,102807,252297,1,10000,8000,30,59,52150
1098,CCS1,6/28/2023 20:28,6/28/2023 20:41,14,16198.0,101904,110514,0,50000,40000,31,66,43966
1161,CCS2,4/22/2022 11:55,4/22/2022 12:08,14,3729.0,26067,29781,0,10000,8000,68,100,11070
1207,CCS2,5/22/2022 16:46,5/22/2022 16:59,14,27710.0,158337,352230,1,10000,8000,16,51,75213
1233,CCS2,6/6/2022 11:55,6/6/2022 12:08,14,25871.0,146034,159210,0,10000,8000,12,45,74477
1482,CCS2,11/15/2022 15:26,11/15/2022 15:39,14,2086.0,16758,109479,0,50000,40000,97,100,66057
1537,CCS2,2/24/2023 8:40,2/24/2023 8:53,14,12014.0,69888,178383,1,10000,8000,20,41,54349
1563,CCS2,3/1/2023 15:00,3/1/2023 15:13,14,7317.0,51657,57801,0,10000,8000,52,70,38618
1639,CCS2,3/28/2023 7:32,3/28/2023 7:45,14,8344.0,46716,92595,0,10000,8000,2,12,79268
1730,CCS2,5/9/2023 18:49,5/9/2023 19:02,14,7925.0,44409,51612,0,10000,8000,34,60,28957
98,CCS1,5/22/2022 10:06,5/22/2022 10:20,15,29985.0,164007,271632,1,10000,8000,29,57,101771
221,CCS1,6/20/2022 16:30,6/20/2022 16:44,15,19966.0,114255,116700,0,50000,40000,11,41,63226
293,CCS1,10/14/2022 11:32,10/14/2022 11:46,15,26838.0,156144,353265,1,10000,8000,23,55,79675
340,CCS1,10/21/2022 15:51,10/21/2022 16:05,15,10721.0,63090,93630,0,10000,8000,56,71,67900
381,CCS1,10/27/2022 17:59,10/27/2022 18:13,15,8699.0,75003,123081,0,42000,33600,64,86,37564
384,CCS1,10/28/2022 11:12,10/28/2022 11:26,15,19775.0,140067,225444,1,10000,8000,49,70,89458
466,CCS1,11/7/2022 11:38,11/7/2022 11:52,15,32711.0,166428,177540,1,10000,8000,25,62,83988
537,CCS1,11/16/2022 14:08,11/16/2022 14:22,15,27292.0,156327,232965,1,10000,8000,5,49,58926
636,CCS1,2/25/2023 13:19,2/25/2023 13:33,15,17564.0,100620,353265,1,10000,8000,47,68,79418
685,CCS1,3/7/2023 20:22,3/7/2023 20:36,15,18929.0,103803,192417,1,77740,62192,28,50,81738
722,CCS1,3/17/2023 1:55,3/17/2023 2:09,15,22202.0,111000,177540,1,10000,8000,54,79,84368
755,CCS1,3/24/2023 11:14,3/24/2023 11:28,15,19264.0,125838,229743,1,10000,8000,25,53,65360
